"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite withValidData","TestCase withChainingForAllOperations","Add","request","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","PropertyDivideNum2","properties","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Property Transfer FromAddResponseToDivideNum1","transfer","OK","Message:Performed transfer [DivideNum1]
","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Divide","request","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","PropertiesMultiplyInputChaining","properties","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Groovy Script ToGetSetProperty","groovy","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Multiply","request","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","XMLParsing using Groovy Script","groovy","OK","Message:Script-result: com.eviware.soapui.impl.wsdl.teststeps.WsdlTestRequestStepResult@7cc86697
","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Subtract","request","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Add","request","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","PropertyDivideNum2","properties","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Property Transfer FromAddResponseToDivideNum1","transfer","OK","Message:Performed transfer [DivideNum1]
","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Divide","request","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","PropertiesMultiplyInputChaining","properties","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Groovy Script ToGetSetProperty","groovy","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Multiply","request","OK","","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","XMLParsing using Groovy Script","groovy","OK","Message:Script-result: com.eviware.soapui.impl.wsdl.teststeps.WsdlTestRequestStepResult@1580de02
","21-Sep-2020 05_05",
"TestSuite withValidData","TestCase withChainingForAllOperations","Subtract","request","OK","","21-Sep-2020 05_05",